move_id,slug,name,style,from_position,best_score,video_url,video_title,content_type
00000000-0000-0000-0002-000000000175,fs-hic-outside-finish,Hi-C — Outside Finish,freestyle,high-crotch,1.00,https://www.youtube.com/watch?v=XgvA-g8CFVk,High Crotch Outside Step Penetration,technique
00000000-0000-0000-0002-000000000172,fs-hic-pop-finish,Hi-C — Pop Finish,freestyle,high-crotch,1.00,https://www.youtube.com/watch?v=GwRZj65x2xE,High Crotch   Pop Finish,technique
00000000-0000-0000-0002-000000000176,fs-hic-stuff-head,Hi-C Counter — Stuff Head,freestyle,high-crotch,1.00,https://www.youtube.com/watch?v=RWqifP1lYSw,High Crotch Counter   Stuff Head,technique
00000000-0000-0000-0002-000000000173,fs-hic-to-double,Hi-C — Convert to Double,freestyle,high-crotch,1.00,https://www.youtube.com/watch?v=ehtf3Y5g6BI,High Crotch Change Off to Double,technique
00000000-0000-0000-0002-000000000174,fs-hic-to-single,Hi-C — Convert to Single,freestyle,high-crotch,1.00,https://www.youtube.com/watch?v=0BPnLWYBY1I,Single Leg,technique
00000000-0000-0000-0002-000000000163,fs-hip-dump,Hip Dump,freestyle,clinch-bodylock,1.00,https://www.youtube.com/watch?v=i0fP5Q8c1kc,Hip Dump,technique
00000000-0000-0000-0002-000000000158,fs-hiplock,Hiplock,freestyle,clinch-bodylock,0.00,,,
00000000-0000-0000-0002-000000000137,fs-inside-tie-double,Inside Tie — Level Change Double,freestyle,inside-tie,1.00,https://www.youtube.com/watch?v=SfmLZMiUEUM,Double Leg Inside Step,technique
00000000-0000-0000-0002-000000000129,fs-inside-tie-entry,Inside Tie Entry,freestyle,neutral,1.00,https://www.youtube.com/watch?v=iAgE1NmnGU0,Inside Tie & Elbow Tie,technique
00000000-0000-0000-0002-000000000138,fs-inside-tie-hic,Inside Tie — Level Change Hi-C,freestyle,inside-tie,1.00,https://www.youtube.com/watch?v=witUsu1OzX8,High Crotch Inside Step Penetration,technique
00000000-0000-0000-0002-000000000136,fs-inside-tie-snap-down,Inside Tie — Snap Down,freestyle,inside-tie,1.00,https://www.youtube.com/watch?v=-Xi74uWT0vU,Head Snap,technique
00000000-0000-0000-0002-000000000139,fs-inside-tie-to-underhook,Inside Tie to Underhook,freestyle,inside-tie,1.00,https://www.youtube.com/watch?v=j3869U-uCCo,Neutral Position - Underhooks Head Position,technique
00000000-0000-0000-0002-000000000195,fs-leg-lace-cartwheel,Leg Lace — Cartwheel Finish,freestyle,par-terre-top,1.00,https://www.youtube.com/watch?v=HWdkrx8LsQE,Par Terre Offense   Leg Lace with Cartwheel Finish,technique
00000000-0000-0000-0002-000000000206,fs-leg-ride,Leg Ride,freestyle,back-control-top,0.00,,,
00000000-0000-0000-0002-000000000114,fs-level-change-double,Level Change — Double Leg,freestyle,neutral,1.00,https://www.youtube.com/watch?v=8FyeXO4rviw,Double Leg,technique
00000000-0000-0000-0002-000000000115,fs-level-change-hic,Level Change — Hi-C,freestyle,neutral,1.00,https://www.youtube.com/watch?v=witUsu1OzX8,High Crotch Inside Step Penetration,technique
00000000-0000-0000-0002-000000000116,fs-level-change-single,Level Change — Single Leg,freestyle,neutral,1.00,https://www.youtube.com/watch?v=0BPnLWYBY1I,Single Leg,technique
00000000-0000-0000-0002-000000000194,fs-low-lock-gut-wrench,Low Lock Gut Wrench,freestyle,par-terre-top,1.00,https://www.youtube.com/watch?v=WJ2GP8EYVjU,Par Terre Offense   Low Lock Gut Wrench,technique
00000000-0000-0000-0002-000000000120,fs-low-single,Low Single,freestyle,neutral,1.00,https://www.youtube.com/watch?v=wGwm0qVbu4M,Snatch Single,technique
00000000-0000-0000-0002-000000000156,fs-overhook-peek-out,Overhook — Peek Out,freestyle,overhook,0.00,,,
00000000-0000-0000-0002-000000000196,fs-par-terre-fighting-lock,Par Terre — Fighting the Lock,freestyle,par-terre-bottom,1.00,https://www.youtube.com/watch?v=ZpMGBQNmspo,Par Terre Defense   Fighting Lock,technique
00000000-0000-0000-0002-000000000197,fs-par-terre-movement,Par Terre — Movement,freestyle,par-terre-bottom,1.00,https://www.youtube.com/watch?v=p-MqkxGuSPg,Par Terre Defense   Movement,technique
00000000-0000-0000-0002-000000000146,fs-pummeling-arm-drag,Pummeling to Arm Drag,freestyle,underhook,1.00,https://www.youtube.com/watch?v=_h258-ed-no,Armdrags & Chops,technique
00000000-0000-0000-0002-000000000160,fs-reverse-headlock,Reverse Headlock,freestyle,clinch-bodylock,1.00,https://www.youtube.com/watch?v=gLEabYdy_Tk,Headlock Defense Part II,technique
00000000-0000-0000-0002-000000000193,fs-reverse-lift,Reverse Lift,freestyle,par-terre-top,1.00,https://www.youtube.com/watch?v=1gjhBXu4oUM,Reverse Lift,technique
00000000-0000-0000-0002-000000000159,fs-sag-headlock,Sag Headlock,freestyle,clinch-bodylock,1.00,https://www.youtube.com/watch?v=iAT0HViIXK8,Headlock Defense Part I   Throw Finish,technique
00000000-0000-0000-0002-000000000209,fs-scramble-back-standing,Scramble to Back Control — Standing,freestyle,scramble,0.00,,,
00000000-0000-0000-0002-000000000208,fs-scramble-neutral,Scramble to Neutral,freestyle,scramble,0.00,,,
00000000-0000-0000-0002-000000000186,fs-single-ankle-turn,Single Leg — Ankle Turn Finish,freestyle,single-leg,1.00,https://www.youtube.com/watch?v=1XeFyfGLsY0,Sweep Single   Head Inside,technique
00000000-0000-0000-0002-000000000187,fs-single-back-exposure,Single to Back Exposure,freestyle,single-leg,0.00,,,
00000000-0000-0000-0002-000000000185,fs-single-chest-to-back,Single Leg — Chest to Back Finish,freestyle,single-leg,1.00,https://www.youtube.com/watch?v=tOyeuv1xCSs,Sweep Single   Head Outside,technique
00000000-0000-0000-0002-000000000184,fs-single-outside-finish,Single Leg — Outside Finish,freestyle,single-leg,1.00,https://www.youtube.com/watch?v=tOyeuv1xCSs,Sweep Single   Head Outside,technique
00000000-0000-0000-0002-000000000188,fs-single-stuff-head,Single Leg Counter — Stuff Head,freestyle,single-leg,1.00,https://www.youtube.com/watch?v=VRussZAawxs,Single Leg Counter   Stuff Head,technique
00000000-0000-0000-0002-000000000124,fs-snap-down,Snap Down,freestyle,neutral,1.00,https://www.youtube.com/watch?v=-Xi74uWT0vU,Head Snap,technique
00000000-0000-0000-0002-000000000118,fs-snatch-single,Snatch Single,freestyle,neutral,1.00,https://www.youtube.com/watch?v=wGwm0qVbu4M,Snatch Single,technique
00000000-0000-0000-0002-000000000127,fs-sprawl-defense,Sprawl Defense,freestyle,neutral,1.00,https://www.youtube.com/watch?v=YKH3oShF3Fc,Downblock & Sprawl,technique
00000000-0000-0000-0002-000000000126,fs-sprawl-to-front-headlock,Sprawl to Front Headlock,freestyle,neutral,1.00,https://www.youtube.com/watch?v=0bkIMmQf7TE,Snap Down to a Front Headlock,technique
00000000-0000-0000-0002-000000000199,fs-stand-up-turtle,Stand Up from Turtle,freestyle,turtle,1.00,https://www.youtube.com/watch?v=VwytIfWS1Ws,Stand Up,technique
00000000-0000-0000-0002-000000000162,fs-suplex,Suplex,freestyle,clinch-bodylock,0.00,,,
00000000-0000-0000-0002-000000000198,fs-takedown-to-par-terre,Takedown to Par Terre,freestyle,back-control-standing,1.00,https://www.youtube.com/watch?v=CClAaLPWNp4,Transitioning from a Takedown to Par Tarre Offensive,technique
00000000-0000-0000-0002-000000000141,fs-underhook-bodylock,Underhook — Bodylock,freestyle,underhook,0.00,,,
00000000-0000-0000-0002-000000000142,fs-underhook-duck-under,Underhook — Duck Under,freestyle,underhook,1.00,https://www.youtube.com/watch?v=cVjTySx1uZ4,2 on 1 Duck Under,technique
00000000-0000-0000-0002-000000000130,fs-underhook-entry,Underhook Entry,freestyle,neutral,1.00,https://www.youtube.com/watch?v=j3869U-uCCo,Neutral Position - Underhooks Head Position,technique
00000000-0000-0000-0002-000000000140,fs-underhook-hic,Underhook — Hi-C,freestyle,underhook,1.00,https://www.youtube.com/watch?v=witUsu1OzX8,High Crotch Inside Step Penetration,technique
00000000-0000-0000-0002-000000000143,fs-underhook-shrug,Underhook — Shrug / Throw By,freestyle,underhook,0.00,,,
00000000-0000-0000-0002-000000000144,fs-underhook-slide-by,Underhook — Slide By,freestyle,underhook,0.00,,,
00000000-0000-0000-0002-000000000145,fs-underhook-to-double,Underhook to Double Underhooks,freestyle,underhook,0.00,,,
00000000-0000-0000-0002-000000000155,fs-whizzer-sit-out,Whizzer — Sit Out,freestyle,overhook,0.00,,,
00000000-0000-0000-0002-000000000205,fs-wrist-ride,Wrist Ride,freestyle,back-control-top,0.00,,,
